"CASE_ID","STATE","COUNTY","VEH_MOD_YEAR","VEH_BRAND","VEH_MODEL","VEH_CATEGORY","LATITUDE","LONGITUDE","ACC_TS","ACC_TOD","ACC_LOC","LIGHT_COND","WEATHER","AGE","SEX","DRINKING_FLAG","DRUGS_FLAG","SEAT_POS","IMPACT_LOC","FIRE_FLAG","HARM_EV_TYPE","COLL_EV_TYPE","HELMET_PRESENT","HELMET_MISUSE","INJURY"
10430,"Alabama","TUSCALOOSA",2014,"Yamaha","XVS1300 V Star 1300","Motorcycle",33.27839444,-87.53318333,2020-07-27 11:40:00,"Morning","Driveway Access Related","Daylight","Clear",74,"Male","No","No","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Death"
10442,"Alabama","TUSCALOOSA",2012,"Honda","VT1300 (Fury)","Motorcycle",33.24540833,-87.67288889,2020-09-07 20:16:00,"Evening","Y-Intersection","Dark - Not Lighted","Clear",29,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10447,"Alabama","ELMORE",2014,"Harley Davidson","Switchback","Motorcycle",32.65635,-86.11427778,2020-08-15 07:35:00,"Early Morning","Driveway Access Related","Daylight","Rain",28,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10474,"Alabama","MORGAN",2014,"Honda","CBR600","Motorcycle",34.33573889,-86.90218889,2020-07-27 19:15:00,"Evening","Four-Way Intersection","Daylight","Clear",38,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10474,"Alabama","MORGAN",2014,"Honda","CBR600","Motorcycle",34.33573889,-86.90218889,2020-07-27 19:15:00,"Evening","Four-Way Intersection","Daylight","Clear",43,"Female","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10477,"Alabama","BALDWIN",2011,"Harley Davidson","Heritage Softail Classic","Motorcycle",30.82260833,-87.77369722,2020-07-30 19:40:00,"Evening","Intersection-Related","Dusk","Cloudy",66,"Male","No","No","Rider","Back","No","Motor Vehicle In-Transport","Front-to-Rear","Yes","No","Death"
10481,"Alabama","COLBERT",2007,"Honda","VTX1300R","Motorcycle",34.636325,-87.64894722,2020-08-02 10:00:00,"Morning","Intersection-Related","Daylight","Cloudy",68,"Male","No","No","Rider","Back","No","Motor Vehicle In-Transport","Front-to-Rear","Yes","No","Death"
10485,"Alabama","WALKER",2005,"Kawasaki","Ninja ZX-6R","Motorcycle",33.90198333,-87.14729167,2020-08-04 15:20:00,"Afternoon","T-Intersection","Daylight","Clear",43,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10493,"Alabama","LIMESTONE",2006,"Suzuki","GSX750F","Motorcycle",34.85608056,-87.05825,2020-08-08 17:40:00,"Evening","Non-Junction","Daylight","Clear",21,"Male","No","No","Rider","Right-Front Side","No","Fence","Fixed/Not Fixed Object Collision","Yes","No","Death"
10497,"Alabama","JEFFERSON",2019,"Honda","CBR600","Motorcycle",33.31581944,-87.03642222,2020-08-10 12:48:00,"Afternoon","Four-Way Intersection","Daylight","Clear",22,"Male","Not Reported","Not Reported","Rider","Not Reported","No","Motor Vehicle In-Transport","Not Reported","Yes","No","Death"
10502,"Alabama","DEKALB",2009,"Kawasaki","Ninja 500R","Motorcycle",34.26909444,-86.05895556,2020-08-11 15:35:00,"Afternoon","Driveway Access Related","Daylight","Clear",21,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10507,"Alabama","DEKALB",2004,"Honda","VT1100C2 (SHADOW SABRE)","Motorcycle",34.53246667,-85.82961111,2020-08-13 14:56:00,"Afternoon","Non-Junction","Daylight","Clear",50,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Sideswipe - Same Direction","Yes","No","Death"
10507,"Alabama","DEKALB",2004,"Honda","VT1100C2 (SHADOW SABRE)","Motorcycle",34.53246667,-85.82961111,2020-08-13 14:56:00,"Afternoon","Non-Junction","Daylight","Clear",29,"Female","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Sideswipe - Same Direction","Yes","No","Serious"
10510,"Alabama","MADISON",2007,"Suzuki","GSX-R750","Motorcycle",34.69208889,-86.62751667,2020-08-15 18:50:00,"Evening","T-Intersection","Daylight","Clear",50,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10517,"Alabama","MADISON",2020,"Yamaha","YZFR3A","Motorcycle",34.83062778,-86.69988056,2020-08-21 20:45:00,"Evening","Four-Way Intersection","Dark - Lighted","Cloudy",49,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10522,"Alabama","JACKSON",2008,"Harley Davidson","Heritage Softail Classic","Motorcycle",34.85861944,-85.61341667,2020-08-23 04:00:00,"Night","Intersection-Related","Dark - Lighted","Cloudy",58,"Male","No","No","Rider","Right-Front Side","No","Utility Pole/Light Support","Fixed/Not Fixed Object Collision","Yes","No","Death"
10545,"Alabama","MOBILE",2004,"Harley Davidson","Road King Custom","Motorcycle",30.71976111,-88.14605556,2020-09-07 15:27:00,"Afternoon","Non-Junction","Daylight","Clear",54,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Rear","Yes","No","Serious"
10545,"Alabama","MOBILE",2004,"Harley Davidson","Road King Custom","Motorcycle",30.71976111,-88.14605556,2020-09-07 15:27:00,"Afternoon","Non-Junction","Daylight","Clear",28,"Male","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Rear","Yes","No","Death"
10551,"Alabama","JACKSON",2006,"Suzuki","GSX-R750","Motorcycle",34.62673889,-85.97542778,2020-09-12 17:50:00,"Evening","Non-Junction","Daylight","Clear",41,"Male","Not Reported","Not Reported","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Death"
10552,"Alabama","BALDWIN",1970,"Triumph","Tiger","Motorcycle",30.65475833,-87.91194722,2020-09-12 19:16:00,"Evening","Four-Way Intersection","Dusk","Cloudy",61,"Male","Not Reported","Not Reported","Rider","Left","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10569,"Alabama","TUSCALOOSA",2013,"Harley Davidson","Blackline","Motorcycle",33.175525,-87.40026667,2020-10-14 14:45:00,"Afternoon","Non-Junction","Daylight","Clear",42,"Male","No","No","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Death"
10579,"Alabama","JEFFERSON",2016,"Honda","CB500","Motorcycle",33.52130556,-86.81429722,2020-09-05 04:15:00,"Night","Non-Junction","Dark - Lighted","Clear",31,"Male","Yes","No","Rider","Right-Front Side","No","Bridge Rail (Includes parapet)","Fixed/Not Fixed Object Collision","No","None Used","Death"
10583,"Alabama","TUSCALOOSA",2008,"Honda","VT750 (Shadow Aero)","Motorcycle",33.28962778,-87.57020833,2020-09-05 08:37:00,"Early Morning","Intersection-Related","Daylight","Clear",48,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10585,"Alabama","RANDOLPH",9999,"Other","Other","Motorcycle",33.38648333,-85.35271389,2020-09-06 15:35:00,"Afternoon","Non-Junction","Daylight","Clear",10,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","No","None Used","Death"
10586,"Alabama","LAUDERDALE",2008,"Honda","CBR1000","Motorcycle",34.84587778,-87.37943889,2020-09-09 18:40:00,"Evening","Non-Junction","Daylight","Cloudy",23,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Sideswipe - Same Direction","Yes","No","Death"
10587,"Alabama","ELMORE",2005,"Yamaha","XV1700A/AS/AT/ATS/AC/ASC/ATC/ATSC/Road Star","Motorcycle",32.48125,-86.20092778,2020-09-19 23:25:00,"Night","Crossover-Related","Dark - Not Lighted","Clear",47,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10620,"Alabama","DALE",2002,"Harley Davidson","Sportster 883 Custom","Motorcycle",31.33565833,-85.60488889,2020-10-08 13:28:00,"Afternoon","T-Intersection","Daylight","Clear",25,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10629,"Alabama","CHILTON",2010,"Harley Davidson","Electra Glide Ultra Classic","Motorcycle",32.80196667,-86.87919444,2020-10-18 12:17:00,"Afternoon","Driveway Access Related","Daylight","Clear",60,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10629,"Alabama","CHILTON",2010,"Harley Davidson","Electra Glide Ultra Classic","Motorcycle",32.80196667,-86.87919444,2020-10-18 12:17:00,"Afternoon","Driveway Access Related","Daylight","Clear",50,"Female","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Serious"
10632,"Alabama","CALHOUN",2003,"Kawasaki","Ninja ZX-9R","Motorcycle",33.71748889,-85.86785,2020-10-19 15:25:00,"Afternoon","T-Intersection","Daylight","Clear",33,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10634,"Alabama","CRENSHAW",2019,"Indian Motorcycle","FTR 1200 S","Motorcycle",31.73747222,-86.238875,2020-10-19 22:20:00,"Night","Non-Junction","Dark - Not Lighted","Clear",32,"Male","No","No","Rider","Reported as Unknown","No","Utility Pole/Light Support","Fixed/Not Fixed Object Collision","Yes","No","Death"
10639,"Alabama","WASHINGTON",2006,"Harley Davidson","FLHRCI / Road King Classic","Motorcycle",31.30173611,-88.36489167,2020-10-20 17:40:00,"Evening","Driveway Access Related","Daylight","Clear",46,"Male","No","No","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Death"
10639,"Alabama","WASHINGTON",2006,"Harley Davidson","FLHRCI / Road King Classic","Motorcycle",31.30173611,-88.36489167,2020-10-20 17:40:00,"Evening","Driveway Access Related","Daylight","Clear",47,"Female","Not Reported","Not Reported","Pillion","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Serious"
10640,"Alabama","SHELBY",2002,"Honda","GL1800","Motorcycle",33.34630833,-86.44903611,2020-10-21 16:25:00,"Afternoon","T-Intersection","Daylight","Clear",59,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","No","None Used","Death"
10640,"Alabama","SHELBY",2002,"Honda","GL1800","Motorcycle",33.34630833,-86.44903611,2020-10-21 16:25:00,"Afternoon","T-Intersection","Daylight","Clear",50,"Female","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Angle","No","None Used","Serious"
10643,"Alabama","DALLAS",2004,"Honda","GL1800","Motorcycle",32.44371389,-86.92350833,2020-10-22 14:25:00,"Afternoon","Non-Junction","Daylight","Clear",77,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Ditch","Fixed/Not Fixed Object Collision","Yes","No","Death"
10646,"Alabama","BARBOUR",2002,"Yamaha","XVS650/A/C/AC/V-Star Classic/Custom","Motorcycle",31.96268889,-85.11803889,2020-10-23 04:46:00,"Night","Driveway Access Related","Dark - Lighted","Clear",56,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10649,"Alabama","COFFEE",2013,"Harley Davidson","Tri Glide Ultra Classic","Motorcycle",31.61098333,-85.95004444,2020-10-24 00:05:00,"Night","Non-Junction","Dark - Not Lighted","Clear",65,"Male","Yes","No","Rider","Top","No","Tree (Standing Only)","Fixed/Not Fixed Object Collision","No","None Used","Death"
10673,"Alabama","ESCAMBIA",2018,"Harley Davidson","FLHRXS / Road King Special","Motorcycle",31.16145833,-87.55150833,2020-11-08 18:30:00,"Evening","Intersection-Related","Dark - Not Lighted","Clear",71,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Ditch","Fixed/Not Fixed Object Collision","Yes","No","Death"
10682,"Alabama","SHELBY",2000,"Kawasaki","Ninja ZX-9R","Motorcycle",33.08368333,-86.73578889,2020-12-29 22:30:00,"Night","Non-Junction","Dark - Not Lighted","Clear",35,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Guardrail Face","Fixed/Not Fixed Object Collision","Yes","No","Death"
10697,"Alabama","JEFFERSON",2020,"Harley Davidson","FLTRX / Road Glide","Motorcycle",33.55042778,-86.74583611,2020-11-20 23:08:00,"Night","Through Roadway","Dark - Not Lighted","Clear",44,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Sideswipe - Same Direction","Yes","No","Death"
10707,"Alabama","COFFEE",1999,"Yamaha","XV1600AT/ATC Road Star Classic","Motorcycle",31.29830556,-85.791075,2020-11-05 17:35:00,"Evening","Four-Way Intersection","Daylight","Clear",64,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10716,"Alabama","DALE",2000,"Honda","VT750 (Shadow Ace 750)","Motorcycle",31.35271667,-85.4775,2020-11-11 17:50:00,"Evening","Intersection-Related","Dark - Not Lighted","Clear",57,"Male","No","No","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Death"
10726,"Alabama","LIMESTONE",2016,"Harley Davidson","FLHXS / STREET GLIDE SPECIAL","Motorcycle",34.83709167,-87.07998611,2020-11-15 00:10:00,"Night","Non-Junction","Dark - Not Lighted","Clear",43,"Male","Not Reported","No","Rider","Right-Front Side","No","Tree (Standing Only)","Fixed/Not Fixed Object Collision","Yes","No","Death"
10728,"Alabama","MORGAN",2009,"Honda","CBR600","Motorcycle",34.56194167,-86.9725,2020-11-15 21:57:00,"Night","Non-Junction","Dark - Lighted","Clear",33,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Utility Pole/Light Support","Fixed/Not Fixed Object Collision","Yes","No","Death"
10729,"Alabama","LAUDERDALE",2020,"Indian Motorcycle","Challenger","Motorcycle",34.95077222,-87.68608611,2020-11-16 21:00:00,"Night","Non-Junction","Dark - Not Lighted","Cloudy",39,"Male","No","Yes","Rider","Right-Front Side","No","Culvert","Fixed/Not Fixed Object Collision","Yes","No","Death"
10746,"Alabama","RANDOLPH",2016,"Harley Davidson","XL1200V / SEVENTY-TWO","Motorcycle",33.30253333,-85.547375,2020-11-21 19:45:00,"Evening","Non-Junction","Dark - Not Lighted","Clear",33,"Male","No","No","Rider","Right-Front Side","No","Mail Box","Fixed/Not Fixed Object Collision","Yes","No","Death"
10786,"Alabama","MONTGOMERY",2012,"Harley Davidson","Electra Glide Ultra Limited","Motorcycle",32.3098,-86.33525278,2020-12-06 10:15:00,"Morning","Entrance/Exit Ramp Related","Daylight","Clear",62,"Male","Yes","Not Reported","Rider","Right-Front Side","No","Traffic Sign Support","Fixed/Not Fixed Object Collision","Yes","No","Death"
10790,"Alabama","WALKER",2002,"Honda","VTX1800C (VTX)","Motorcycle",33.9819,-87.350475,2020-11-26 14:11:00,"Afternoon","Non-Junction","Daylight","Clear",38,"Male","No","Not Reported","Rider","Right-Front Side","No","Ditch","Fixed/Not Fixed Object Collision","Yes","No","Death"
10829,"Alabama","MOBILE",2005,"Suzuki","GSX1300R","Motorcycle",30.70158333,-88.11645556,2020-12-11 02:53:00,"Night","Driveway Access Related","Dark - Lighted","Clear",27,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","No","None Used","Death"
10829,"Alabama","MOBILE",2005,"Suzuki","GSX1300R","Motorcycle",30.70158333,-88.11645556,2020-12-11 02:53:00,"Night","Driveway Access Related","Dark - Lighted","Clear",20,"Female","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Angle","No","None Used","Death"
10852,"Alabama","HOUSTON",2007,"Yamaha","XVS650/A/C/AC/AT/ATC/V Star 650","Motorcycle",31.22504722,-85.36033611,2020-07-31 15:26:00,"Afternoon","T-Intersection","Daylight","Clear",63,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10854,"Alabama","MADISON",2002,"Harley Davidson","Heritage Softail Classic","Motorcycle",34.75446667,-86.559575,2020-11-08 11:32:00,"Morning","Intersection-Related","Daylight","Clear",66,"Female","No","No","Rider","Right-Front Side","No","Building","Fixed/Not Fixed Object Collision","No","None Used","Death"
