"CASE_ID","STATE","COUNTY","VEH_MOD_YEAR","VEH_BRAND","VEH_MODEL","VEH_CATEGORY","LATITUDE","LONGITUDE","ACC_TS","ACC_TOD","ACC_LOC","LIGHT_COND","WEATHER","AGE","SEX","DRINKING_FLAG","DRUGS_FLAG","SEAT_POS","IMPACT_LOC","FIRE_FLAG","HARM_EV_TYPE","COLL_EV_TYPE","HELMET_PRESENT","HELMET_MISUSE","INJURY"
10087,"Alabama","COLBERT",1998,"Harley Davidson","FXDWG/FXDWG Anniversary","Motorcycle",34.76981667,-87.666725,2020-02-20 00:30:00,"Night","Non-Junction","Dark - Lighted","Cloudy",32,"Male","Yes","Not Reported","Rider","Right-Front Side","No","Guardrail Face","Fixed/Not Fixed Object Collision","Yes","No","Death"
10114,"Alabama","JEFFERSON",2012,"Harley Davidson","Switchback","Motorcycle",33.46,-86.87811667,2020-02-16 12:10:00,"Afternoon","Non-Junction","Daylight","Cloudy",28,"Male","Not Reported","Not Reported","Rider","Not Reported","No","Motor Vehicle In-Transport","Sideswipe - Opposite Direction","Yes","No","Death"
10153,"Alabama","HOUSTON",2008,"Yamaha","XT250/XT250C","Motorcycle",31.25646111,-85.4611,2020-03-15 17:15:00,"Evening","Non-Junction","Daylight","Clear",41,"Male","No","No","Rider","Right-Front Side","No","Curb","Fixed/Not Fixed Object Collision","Yes","No","Death"
10201,"Alabama","JEFFERSON",2000,"Kawasaki","Vulcan 800","Motorcycle",33.46453611,-86.75705833,2020-04-16 19:44:00,"Evening","T-Intersection","Dark - Lighted","Clear",23,"Male","Not Reported","Not Reported","Rider","Right-Front Side","Yes","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10215,"Alabama","RANDOLPH",2016,"Harley Davidson","FLHXSE / CVO STREET GLIDE","Motorcycle",33.2013,-85.41501944,2020-04-25 21:15:00,"Night","Non-Junction","Dark - Not Lighted","Clear",57,"Male","No","No","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Death"
10218,"Alabama","MOBILE",2016,"Harley Davidson","FXDLS / Low Rider S","Motorcycle",30.47284722,-88.358,2020-04-27 12:39:00,"Afternoon","T-Intersection","Daylight","Clear",54,"Male","No","No","Rider","Right","No","Motor Vehicle In-Transport","Angle","Yes","No","Serious"
10218,"Alabama","MOBILE",2016,"Harley Davidson","FXDLS / Low Rider S","Motorcycle",30.47284722,-88.358,2020-04-27 12:39:00,"Afternoon","T-Intersection","Daylight","Clear",55,"Female","Not Reported","Not Reported","Pillion","Right","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10226,"Alabama","DEKALB",2002,"Harley Davidson","CVO Road King","Motorcycle",34.3536,-85.67762222,2020-05-02 15:45:00,"Afternoon","Non-Junction","Daylight","Clear",64,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10226,"Alabama","DEKALB",2015,"Harley Davidson","Road Glide Custom","Motorcycle",34.3536,-85.67762222,2020-05-02 15:45:00,"Afternoon","Non-Junction","Daylight","Clear",53,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Minor"
10228,"Alabama","BALDWIN",2006,"Harley Davidson","Softail Standard","Motorcycle",30.60624722,-87.74058333,2020-05-03 16:48:00,"Afternoon","Non-Junction","Daylight","Clear",59,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10228,"Alabama","BALDWIN",2006,"Harley Davidson","Softail Standard","Motorcycle",30.60624722,-87.74058333,2020-05-03 16:48:00,"Afternoon","Non-Junction","Daylight","Clear",11,"Male","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Serious"
10232,"Alabama","MOBILE",2001,"Suzuki","GSX-R1000","Motorcycle",30.808275,-88.31653611,2020-05-05 20:31:00,"Evening","Non-Junction","Dark - Not Lighted","Clear",44,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10233,"Alabama","MADISON",9999,"Suzuki","GSX-R750/GSX-R750T","Motorcycle",34.71951944,-86.57361944,2020-05-05 22:35:00,"Night","Four-Way Intersection","Dark - Lighted","Cloudy",25,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10247,"Alabama","BALDWIN",2018,"Harley Davidson","FLHTCU / Electra Glide Ultra Classic","Motorcycle",31.02217778,-87.65139167,2020-06-07 00:53:00,"Night","Non-Junction","Dark - Not Lighted","Rain",38,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Ditch","Fixed/Not Fixed Object Collision","No","None Used","Death"
10269,"Alabama","MADISON",1978,"Suzuki","Unknown","Motorcycle",34.73606111,-86.60955,2020-05-16 00:20:00,"Night","Intersection-Related","Dark - Lighted","Clear",31,"Male","No","No","Rider","Right-Front Side","No","Pedestrian","Fixed/Not Fixed Object Collision","Yes","No","None"
10275,"Alabama","JACKSON",2004,"Harley Davidson","Road King","Motorcycle",34.74339167,-86.05028611,2020-05-18 16:35:00,"Afternoon","Non-Junction","Daylight","Cloudy",59,"Male","No","Yes","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","No","None Used","Death"
10280,"Alabama","MOBILE",2020,"Harley Davidson","XL1200NS / Iron 1200","Motorcycle",30.89222222,-88.27081111,2020-05-23 15:50:00,"Afternoon","Non-Junction","Daylight","Clear",40,"Male","No","No","Rider","Non-Collision","No","Rollover/Overturn","Fixed/Not Fixed Object Collision","Yes","No","Death"
10294,"Alabama","MADISON",2004,"Suzuki","GSX-R1000K","Motorcycle",34.86699444,-86.45536389,2020-05-28 20:05:00,"Evening","Four-Way Intersection","Dark - Lighted","Cloudy",40,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10294,"Alabama","MADISON",2004,"Suzuki","GSX-R1000K","Motorcycle",34.86699444,-86.45536389,2020-05-28 20:05:00,"Evening","Four-Way Intersection","Dark - Lighted","Cloudy",33,"Female","Not Reported","Not Reported","Pillion","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10297,"Alabama","LAUDERDALE",2007,"Kawasaki","Ninja ZX-6R","Motorcycle",34.93388333,-87.76369722,2020-05-29 00:30:00,"Night","Non-Junction","Dark - Not Lighted","Clear",44,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Bridge Rail (Includes parapet)","Fixed/Not Fixed Object Collision","Yes","No","Death"
10301,"Alabama","BUTLER",2001,"Suzuki","GSX-R1000","Motorcycle",31.78958889,-86.6285,2020-05-31 16:00:00,"Afternoon","Four-Way Intersection","Daylight","Clear",31,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10306,"Alabama","SHELBY",2019,"Kawasaki","Ninja 400","Motorcycle",33.27134722,-86.80994167,2020-06-01 11:50:00,"Morning","T-Intersection","Daylight","Clear",20,"Male","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10319,"Alabama","RUSSELL",2018,"Honda","CMX300 (Rebel 300)","Motorcycle",32.47085833,-85.00215,2020-06-09 17:50:00,"Evening","T-Intersection","Daylight","Clear",24,"Female","No","No","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10332,"Alabama","BALDWIN",2010,"Honda","SH150I","Motorcycle",30.33375833,-87.68325,2020-06-18 14:28:00,"Afternoon","Intersection-Related","Daylight","Clear",60,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Rear","Yes","No","Death"
10336,"Alabama","BLOUNT",2004,"Suzuki","VL800K","Motorcycle",33.94140278,-86.46206667,2020-06-20 09:10:00,"Morning","Non-Junction","Daylight","Clear",29,"Male","Not Reported","Not Reported","Rider","Right","No","Motor Vehicle In-Transport","Sideswipe - Same Direction","Yes","No","Death"
10346,"Alabama","HOUSTON",2018,"Harley Davidson","FLTRXS / Road Glide Special","Motorcycle",31.23442778,-85.59992778,2020-06-26 02:00:00,"Night","Non-Junction","Dark - Not Lighted","Cloudy",47,"Male","Not Reported","Not Reported","Rider","Undercarriage","No","Embankment","Fixed/Not Fixed Object Collision","Yes","No","Death"
10362,"Alabama","JEFFERSON",2000,"BMW","K 1200 LT","Motorcycle",33.31469167,-87.05666944,2020-06-27 00:52:00,"Night","Non-Junction","Dark - Not Lighted","Clear",22,"Male","No","No","Rider","Back","No","Motor Vehicle In-Transport","Front-to-Rear","Yes","No","Death"
10367,"Alabama","JEFFERSON",2009,"Yamaha","YZF-R1C","Motorcycle",33.48061944,-86.83953056,2020-06-20 21:18:00,"Night","Four-Way Intersection","Dark - Lighted","Clear",34,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","Yes","No","Death"
10384,"Alabama","BIBB",2004,"Harley Davidson","Electra Glide Ultra Classic","Motorcycle",32.86855556,-87.23150278,2020-07-05 23:30:00,"Night","Non-Junction","Dark - Not Lighted","Cloudy",43,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10387,"Alabama","DEKALB",2002,"Suzuki","VL800K","Motorcycle",34.52328056,-85.77422222,2020-07-07 17:39:00,"Evening","Non-Junction","Daylight","Clear",52,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Front-to-Front","Yes","No","Death"
10393,"Alabama","BLOUNT",2005,"Harley Davidson","Softail Deluxe","Motorcycle",34.08530278,-86.42772778,2020-07-09 14:47:00,"Afternoon","Non-Junction","Daylight","Clear",60,"Male","No","No","Rider","Right-Front Side","No","Live Animal","Fixed/Not Fixed Object Collision","Yes","No","Death"
10397,"Alabama","LAWRENCE",2018,"Honda","GL1800","Motorcycle",34.41360833,-87.30890278,2020-07-11 14:35:00,"Afternoon","Non-Junction","Daylight","Clear",54,"Male","No","No","Rider","Right-Front Side","No","Embankment","Fixed/Not Fixed Object Collision","Yes","No","Serious"
10397,"Alabama","LAWRENCE",2018,"Honda","GL1800","Motorcycle",34.41360833,-87.30890278,2020-07-11 14:35:00,"Afternoon","Non-Junction","Daylight","Clear",57,"Female","Not Reported","Not Reported","Pillion","Right-Front Side","No","Embankment","Fixed/Not Fixed Object Collision","Yes","No","Death"
10403,"Alabama","PIKE",2014,"TAOTAO","POWERMAX 150","Motorcycle",31.69474444,-85.95952778,2020-07-13 20:15:00,"Evening","Y-Intersection","Dusk","Cloudy",21,"Male","Not Reported","Not Reported","Rider","Right-Front Side","No","Motor Vehicle In-Transport","Angle","No","None Used","Death"
10406,"Alabama","MADISON",2012,"Harley Davidson","Electra Glide Ultra Limited","Motorcycle",34.75607222,-86.71620833,2020-07-16 23:07:00,"Night","Non-Junction","Dark - Lighted","Clear",51,"Male","Yes","No","Rider","Right-Front Side","No","Culvert","Fixed/Not Fixed Object Collision","Yes","No","Death"
